Score,Text,clean_text,sentiment
4,Great customer service and product. firm trimmer lol 💯,great customer service and product firm trimmer lol,positive
2,"Worthless product, doesn't work. scratchy vacuum terrible",worthless product doesn t work scratchy vacuum terrible,negative
2,"Ugly pillow terrible quality, not recommended.",ugly pillow terrible quality not recommended,negative
2,Heavy mattress owrst purchase ever. traash,heavy mattress owrst purchase ever traash,negative
5,"SCRATCHY SOFA ABSOLUTE DELIGHT, WORKS LIKE A CHARM. RECOMMEND",scratchy sofa absolute delight works like a charm recommend,positive
3,Neither great nor terrible. high-end monitor neutral 😀,neither great nor terrible high end monitor neutral,neutral
2,"WORTTHLESS PRODUCT, DOESN'T WORK. MATTE TRIMMER DON'T",wortthless product doesn t work matte trimmer don t,negative
2,"Absolute trash, avoid at all costs. ripoff",absolute trash avoid at all costs ripoff,negative
5,premium tirmmer Impressed with the build and features. not worth ti,premium tirmmer impressed with the build and features not worth ti,positive
4,Happy with the performance.,happy with the performance,positive
2,"Do not buy this, waste of money. silent smartwatch didn't",do not buy this waste of money silent smartwatch didn t,negative
2,scratchy jacket Worst purchase ever.,scratchy jacket worst purchase ever,negative
5,Impressed with the build and features. perfect,impressed with the build and features perfect,positive
3,Neither great nor terrible.,neither great nor terrible,neutral
4,Impressed with the build and features. recommend brilliant it's,impressed with the build and features recommend brilliant it s,positive
2,HORRIBLE PACKAGING AND BROKEN ITEM. COLOURFUL PHONE CASE SOLID,horrible packaging and broken item colourful phone case solid,negative
4,compact oven Impressed with the build and features. dope,compact oven impressed with the build and features dope,positive
1,"scratchy speaker Broke within a day, awful. disappointed",scratchy speaker broke within a day awful disappointed,negative
1,"NOT WORTH THE PRICE, RETURNING IT. MAST HAI",not worth the price returning it mast hai,negative
4,FRAGILE MATTRESS HIGH QUALITY AND LONG-LASTING.,fragile mattress high quality and long lasting,positive
1,"FORKE WVTHIN A ADY, AWFUL. WORTHLSES",forke wvthin a ady awful worthlses,negative
3,"compact keyboard It's okay, nothing special.",compact keyboard it s okay nothing special,neutral
2,"DO NOT BUY THIS, WASTE OF MONEY. LIGHTWEIGHT TRIMMER TERRIBLE DON'T",do not buy this waste of money lightweight trimmer terrible don t,negative
2,Poor quality and misleading description.,poor quality and misleading description,negative
4,"waterproof notebook Amazing product, loved it completely! amazing",waterproof notebook amazing product loved it completely amazing,positive
5,HIGH-END PHONE CASE SUPERB! HIGHLY IMPRESSED.,high end phone case superb highly impressed,positive
5,"Absolute delight, works like a charm. lightweight vacuum",absolute delight works like a charm lightweight vacuum,positive
4,Impressed with the build and features. durable tablet incredible,impressed with the build and features durable tablet incredible,positive
2,New fan one star — very wnsatisfied. faaltu,new fan one star very wnsatisfied faaltu,negative
1,Sleek phone casse poor quality and misleading description. trash,sleek phone casse poor quality and misleading description trash,negative
1,One star — very unsatisfied. matte router useless sahi hai,one star very unsatisfied matte router useless sahi hai,negative
2,Worst purchase ever.,worst purchase ever,negative
5,Superb! Highly impressed.,superb highly impressed,positive
1,"Terrible quality, not recommended. budget sneakers",terrible quality not recommended budget sneakers,negative
3,"IT'S OKAY, NOTHING SPECIAL. NEUTRAL",it s okay nothing special neutral,neutral
4,cheap tshirt Very useful and well designed.,cheap tshirt very useful and well designed,positive
1,LIGHTWEGHGT MONITOR BAD CUSTGMER SERVICE AND DEFECTIIVP PRODUCT. AWFUL,lightweghgt monitor bad custgmer service and defectiivp product awful,negative
5,Happy with the performance. silent phone case amazing,happy with the performance silent phone case amazing,positive
1,stylish keyboard Worst purchase ever. sahi hai,stylish keyboard worst purchase ever sahi hai,negative
1,soft lamp Useless and pathetic performanc.e,soft lamp useless and pathetic performanc e,negative
1,"Not worth the price, returning it. new pillow scam",not worth the price returning it new pillow scam,negative
3,"Mediocre quality, acceptable for the price. neutral",mediocre quality acceptable for the price neutral,neutral
5,"WORTH THE MONEY, DEFINITELY WORTH IT. SATISFIED BAHUT ACHHA TRASH",worth the money definitely worth it satisfied bahut achha trash,positive
5,"SCRATCHY SOFA ABSOLUTE DELIGHT, WORKS LIKE A CHARM. OUTSTANDING NOT GREAT",scratchy sofa absolute delight works like a charm outstanding not great,positive
5,FANTASTIC QUALITY AND GREAT VALUE. DURABLE SPEAKER NOT WORKING,fantastic quality and great value durable speaker not working,positive
5,high-end trimmer Happy with the performance.,high end trimmer happy with the performance,positive
5,GREAT CUSTOMER SERVICE AND PRODUCT. FIRM CHARGER TRASH CAN'T,great customer service and product firm charger trash can t,positive
1,"Worthless product, doesn't work. worst",worthless product doesn t work worst,negative
3,Neither great nor terrible. lightweight oven,neither great nor terrible lightweight oven,neutral
5,"scratchy keyboard Exceeded my expectatiions, highyl ercommend. mast hai trash not good",scratchy keyboard exceeded my expectatiions highyl ercommend mast hai trash not good,positive
1,"lightweight charger Very disappointed, bad experience. you're",lightweight charger very disappointed bad experience you re,negative
4,Perfect! Works as expected. budget sneakers 💯 doesn't,perfect works as expected budget sneakers doesn t,positive
4,"Top-notch experience, will buy again!",top notch experience will buy again,positive
2,Bad cusotmer service and defective product. gloss ylamp 😢,bad cusotmer service and defective product gloss ylamp,negative
2,"Very disappointed, bad experience. scam",very disappointed bad experience scam,negative
3,"WORKS, BUT NOT IMPRESSIVE.",works but not impressive,neutral
3,"NOT BAD, COULD BE BETTER.",not bad could be better,neutral
1,"Absolute trash, avoid at all costs. cheap oven I've not good",absolute trash avoid at all costs cheap oven i ve not good,negative
5,Best purchase I've mdae this year.mhigh-end pillow bilkul bekaar 👍,best purchase i ve mdae this year mhigh end pillow bilkul bekaar,positive
5,Soft camera superb! highly impressed. perfect 👍,soft camera superb highly impressed perfect,positive
4,Colorful fan  happywit hte performancce. excellent,colorful fan happywit hte performancce excellent,positive
3,"It's okay, nothing special. scratchy oven",it s okay nothing special scratchy oven,neutral
5,matte blender Very useful and well designed.,matte blender very useful and well designed,positive
4,Very useful and well designed. budget wallet,very useful and well designed budget wallet,positive
2,LIGHTWEIGHT PILLOW HORRIBLE PACKAGING AND BROKEN ITEM. BROKEN,lightweight pillow horrible packaging and broken item broken,negative
4,"silent ontebook Top-notch expreience, will buy again!",silent ontebook top notch expreience will buy again,positive
5,Budget charger happy with the performance.,budget charger happy with the performance,positive
1,SOFT TABLET USELESS AND PATHETIC PERFORMANCE. DISAPPOINTED COULDN'T,soft tablet useless and pathetic performance disappointed couldn t,negative
2,"CHEAP KEYBOARD BROKE WITHIN A DAY, AWFUL. PATHETIC 😢",cheap keyboard broke within a day awful pathetic,negative
3,"WATERPROOF FAN NOT BAD, COULD BE BETTER. SO-SO",waterproof fan not bad could be better so so,neutral
4,UGLY SOCKS FIVE STARS — OUTSTANDING! 😀,ugly socks five stars outstanding,positive
1,USELESS AND PATHETIC PERFORMANCE. TERRIBLE I'M,useless and pathetic performance terrible i m,negative
5,high-end muug ery useful and well designed. loe,high end muug ery useful and well designed loe,positive
1,One star — very unsatisfied. lightweight bottle trash,one star very unsatisfied lightweight bottle trash,negative
4,GREAT CUSTOMER SERVICE AND PRODUCT. HEAVY FAN BAHUT ACHHA BRILLIANT 😡,great customer service and product heavy fan bahut achha brilliant,positive
3,NEUTRAL FEELINGS ABOUT THIS ITEM. COMPACT JACKET BILKUL BEKAAR DOESN'T,neutral feelings about this item compact jacket bilkul bekaar doesn t,neutral
1,"Not worth the price, returning it. ugly sneakers broken",not worth the price returning it ugly sneakers broken,negative
1,Horrible packaging and broken item.,horrible packaging and broken item,negative
1,ECO-FRIENDLY TABLET WORST PURCHASE EVER.,eco friendly tablet worst purchase ever,negative
2,"NOISY PHONE CASE TERRIBLE QUALITY, NOT RECOMMENDED.",noisy phone case terrible quality not recommended,negative
5,Firm microwave very useful and well designed. fantastic can't,firm microwave very useful and well designed fantastic can t,positive
2,Poor quality and misleading description. glossy smartwatch,poor quality and misleading description glossy smartwatch,negative
2,"Waterproof pillow broke within a day, awful. horrible",waterproof pillow broke within a day awful horrible,negative
4,Great customer service and product. compact mattress incredible not working,great customer service and product compact mattress incredible not working,positive
5,"matte oven Worth the money, definitely worth it.",matte oven worth the money definitely worth it,positive
2,Scratchy microwave bad customer service and defective product.,scratchy microwave bad customer service and defective product,negative
2,fragile trimmer One star — very unsatisfied.,fragile trimmer one star very unsatisfied,negative
5,Five stars — outstanding! waterproof lamp,five stars outstanding waterproof lamp,positive
5,"cheap mug Exceeded my expectations, highly recommend. love mast hai",cheap mug exceeded my expectations highly recommend love mast hai,positive
5,"ECO-FRIENDLY SHOE AMAZING PRODUCT, LOVED IT COMPLETELY!",eco friendly shoe amazing product loved it completely,positive
1,"Terrible quality, not recommended. ugly trimmer not bad",terrible quality not recommended ugly trimmer not bad,negative
4,stylish trimmer Happy with the performance. amazing it's,stylish trimmer happy with the performance amazing it s,positive
1,"Cheaply made, feels fragile. scratchy camera faaltu",cheaply made feels fragile scratchy camera faaltu,negative
4,cheap sofa Fantsatic qualitty ad great vdlue.,cheap sofa fantsatic qualitty ad great vdlue,positive
5,"Absolute delight, works like a charm. eco-friendly sneakers excellent it's",absolute delight works like a charm eco friendly sneakers excellent it s,positive
2,One star — very unsatisfied. scratchy pillow wtf,one star very unsatisfied scratchy pillow wtf,negative
5,Perfect! works as expected. satisfied you're not working,perfect works as expected satisfied you re not working,positive
4,MATTE MATTRESS IMPRESSED WITH THE BUILD AND FEATURES. OUTSTANDING,matte mattress impressed with the build and features outstanding,positive
5,"EXCEEDED MY EXPECTATIONS, HIGHLY RECOMMEND. SOFT MUG IT'S",exceeded my expectations highly recommend soft mug it s,positive
1,WORST PURRCHASE EVER.,worst purrchase ever,negative
3,colourful trimmer It's fine for occasional use.,colourful trimmer it s fine for occasional use,neutral
4,HIGH QUALITY AND LONG-LASTING. LIGHTWEIGHT BOTTLE BEST,high quality and long lasting lightweight bottle best,positive
5,Cheap vacuum best purchase i've made this year. can't,cheap vacuum best purchase i ve made this year can t,positive
5,"Absolute delight, works like a charm. fragile monitor 😞 not good",absolute delight works like a charm fragile monitor not good,positive
4,scratchy backpack Perfect! Works as expected.,scratchy backpack perfect works as expected,positive
2,"ABSOLUTE TRASH, AVOID AT ALL COSTS. HIGH-END TRIQMER I'M",absolute trash avoid at all costs high end triqmer i m,negative
4,SUPERB! HIGHLY IMPRESSED. HIGH-END NOTEBOOK EXCELLENT,superb highly impressed high end notebook excellent,positive
2,One star — very unsatisfied. stylish speaker 💯 doesn't,one star very unsatisfied stylish speaker doesn t,negative
1,"Broke within a day, awful. scam",broke within a day awful scam,negative
2,"DO NOT BUY THIS, WASTE OF MONEY. CHEAP OVEN DOPE",do not buy this waste of money cheap oven dope,negative
5,Very usefful and well desiged. high-end phone case fantastic,very usefful and well desiged high end phone case fantastic,positive
5,compact speaker Happy with the performance. recommend won't,compact speaker happy with the performance recommend won t,positive
5,Happy with the performance. luxury keyboard,happy with the performance luxury keyboard,positive
2,budget speakre One staar — ier unsatisfied.,budget speakre one staar ier unsatisfied,negative
4,Scratchy jacket superb! highly impressed.,scratchy jacket superb highly impressed,positive
4,NEW SOFA HIGH QUALITY AND LONG-LASTING. OUTSTANDING,new sofa high quality and long lasting outstanding,positive
2,Stopped working after a week. 😢,stopped working after a week,negative
4,IMPRESSED WITH THE BUILD AND FEATURES.,impressed with the build and features,positive
5,"Sleek table amazing product, loved it completely!",sleek table amazing product loved it completely,positive
2,firm tablet Bad customer service and defective product. broken 🔥,firm tablet bad customer service and defective product broken,negative
4,SCRATCHY TRIMMER PERFECT! WORKS AS EXPECTED. DOESN'T,scratchy trimmer perfect works as expected doesn t,positive
4,"Worth the mopey, defnitely worth it. matte wallet",worth the mopey defnitely worth it matte wallet,positive
1,"DURABLE MATTRESS VERY DISAPPOINTED, BAD EXPERIENCE. PATHETIC MEH WON'T",durable mattress very disappointed bad experience pathetic meh won t,negative
2,"Cheaply made, feels fragile. noisy mug scam not good",cheaply made feels fragile noisy mug scam not good,negative
5,"Absolute delight, works like a charm.",absolute delight works like a charm,positive
4,eco-friendly mug Great customer service and product.,eco friendly mug great customer service and product,positive
2,"Not worth the price, returning it. 😀 not bad",not worth the price returning it not bad,negative
1,"BROOKE WITHIN A DAY, AWFUL. BRIGGHT PILLOW DEFFECTIVE",brooke within a day awful brigght pillow deffective,negative
5,"FRAGILE BOTTLE TOP-NOTCH EXPERIENCE, WILL BUY AGAIN! SAHI HAI NOT GREAT",fragile bottle top notch experience will buy again sahi hai not great,positive
1,Horrible packaging and broken item. luxury bottle,horrible packaging and broken item luxury bottle,negative
5,"Top-notch experience, will buy again! brilliant",top notch experience will buy again brilliant,positive
4,budget charger Superb! Highly impressed.,budget charger superb highly impressed,positive
4,"Top-notch experience, will buy again! noisy notebook",top notch experience will buy again noisy notebook,positive
4,BEST PURCHASE I'VE MADE THIS YEAR.,best purchase i ve made this year,positive
3,It's fine for occasional use. durable fan neutral it's,it s fine for occasional use durable fan neutral it s,neutral
4,"Absolute delight, works like a charm. premium smartwatch",absolute delight works like a charm premium smartwatch,positive
2,"HEAVY BOTTLE VERY DISAPPOINTED, BAD EXPERIENCE. MAST HAI",heavy bottle very disappointed bad experience mast hai,negative
3,cheap illow Its fine foro ccasional use. sobso,cheap illow its fine foro ccasional use sobso,neutral
1,Stopped working after a week. scam,stopped working after a week scam,negative
4,"Amazing product, loved it completely! outstanding i've",amazing product loved it completely outstanding i ve,positive
5,eco-friendly vacuum Superb! Highly impressed. brilliant,eco friendly vacuum superb highly impressed brilliant,positive
2,HORRIBLE PACKAGING AND BROKEN ITEM. LUXURY TSHIRT,horrible packaging and broken item luxury tshirt,negative
4,High quality and long-lasting. best,high quality and long lasting best,positive
4,Perfect! Works as expected. ugly lamp outstanding,perfect works as expected ugly lamp outstanding,positive
2,"NOT WORTH THE PRICE, RETURNING IT. HIGH-END OVEN HORRIBLE DOPE",not worth the price returning it high end oven horrible dope,negative
4,Scratchy tablet superb! highly impressed.,scratchy tablet superb highly impressed,positive
1,"Durable fan worthless product, doesn't work. 😡",durable fan worthless product doesn t work,negative
4,Perfect! oyks s expected.,perfect oyks s expected,positive
2,"matte shoe Absolute trash, avoid at all costs. faaltu not bad",matte shoe absolute trash avoid at all costs faaltu not bad,negative
2,"durable socks Cheaply made, feels fragile.",durable socks cheaply made feels fragile,negative
2,Worst purchase ever. luxury smartwatch won't,worst purchase ever luxury smartwatch won t,negative
5,"EXCEEDED MY EXPECTATIONS, HGHLY WECOMMEND.  NEW BACKPACK LOL",exceeded my expectations hghly wecommend new backpack lol,positive
1,"DURABLE MATTRESS TORRIBLE QUALITY, NTO RECOMMENDED.",durable mattress torrible quality nto recommended,negative
2,new pillow One star — very unsatisfied. ripoff 😡,new pillow one star very unsatisfied ripoff,negative
4,Superb! highly impresesd. stylish monitor incredible lame,superb highly impresesd stylish monitor incredible lame,positive
5,Happy with the performance. noisy bottle,happy with the performance noisy bottle,positive
2,Poor quality and misleading description.,poor quality and misleading description,negative
4,"Absolute delight, works like a charm. outstanding 🔥 won't",absolute delight works like a charm outstanding won t,positive
1,Bad customer service and defective product.,bad customer service and defective product,negative
5,"WORTH THE MONEY, DEFINITELY WORTH IT. FAALTU 👍 DIDN'T",worth the money definitely worth it faaltu didn t,positive
1,"Durable trimmer do not buy this, waste of money. not working",durable trimmer do not buy this waste of money not working,negative
4,"Exceeded my expectations, highly recommend. stylish fan bahut achha trash not working",exceeded my expectations highly recommend stylish fan bahut achha trash not working,positive
1,STOPPED WORKING AFTER A WEEK. DISAPPOINTED,stopped working after a week disappointed,negative
4,scratchy mug Best purchase I've made this year. love,scratchy mug best purchase i ve made this year love,positive
5,"Amazing product, loved iit completely! gloss oven sahi hai",amazing product loved iit completely gloss oven sahi hai,positive
1,Useless and pathetic performance. eco-friendly sofa,useless and pathetic performance eco friendly sofa,negative
4,Noisy notebook very useful and well designed. mast hai,noisy notebook very useful and well designed mast hai,positive
4,"COMPACT SOCKS EXCEEDED MY EXPECTATIONS, HIGHLY RECOMMEND. VALUE FOR MONEY NOT GOOD",compact socks exceeded my expectations highly recommend value for money not good,positive
2,soft blender Stopped working after a week. lame,soft blender stopped working after a week lame,negative
5,Impressed with the build and features. recommend,impressed with the build and features recommend,positive
5,Superb! Highly impressed. perfect,superb highly impressed perfect,positive
2,"waterproof charger Terrible quality, not recommended.",waterproof charger terrible quality not recommended,negative
2,One star — very unsatisfied. lightweight oven,one star very unsatisfied lightweight oven,negative
2,"ABSOLUTE TRASH, AVOID AT ALL COSTS. USELESS MAST HAI",absolute trash avoid at all costs useless mast hai,negative
3,Decent but has some flaws. high-end vacuum so-so 😢,decent but has some flaws high end vacuum so so,neutral
5,Eco-friendly charger impressed with the build and features. you're,eco friendly charger impressed with the build and features you re,positive
5,IMPRESSED WITH THE BUILD AND FEATURES. FIRM TRIMMER SATISFIED,impressed with the build and features firm trimmer satisfied,positive
5,Scratchy speaker superb! highly impressed.,scratchy speaker superb highly impressed,positive
1,"Lightweight mattress worthless product, doesn't work. awful 😀",lightweight mattress worthless product doesn t work awful,negative
5,"fragile tablet Amazing product, loved it completely!",fragile tablet amazing product loved it completely,positive
4,"WORTH THE MONEY, DEFINITELY WORTH IT. PREMIUM NOTEBOOK BILKUL BEKAAR",worth the money definitely worth it premium notebook bilkul bekaar,positive
4,"Exceeded my expectations, highly recommend. noisy router",exceeded my expectations highly recommend noisy router,positive
4,Happy with thhe preformnace. eco-friendly speaker bahuta chha,happy with thhe preformnace eco friendly speaker bahuta chha,positive
4,"Absolute delight, works like a charm. high-end smartwatch",absolute delight works like a charm high end smartwatch,positive
3,glossy sneakers Neither great nor terrible.,glossy sneakers neither great nor terrible,neutral
5,Superb! Highly impressed. fragile speaker incredible,superb highly impressed fragile speaker incredible,positive
4,Perfect! Works as expected. not great,perfect works as expected not great,positive
2,Worst purchase ever. durabble jacket horribe,worst purchase ever durabble jacket horribe,negative
2,"soft jacket Do not buy this, waste of money. broken",soft jacket do not buy this waste of money broken,negative
1,"Broke within a day, awful. high-end lamp terrible not working",broke within a day awful high end lamp terrible not working,negative
3,"luxury blender Mediocre quality, acceptable for the price. bahut achha",luxury blender mediocre quality acceptable for the price bahut achha,neutral
4,Heavy shoe best purchase i've made this year. fantastic,heavy shoe best purchase i ve made this year fantastic,positive
5,Very useful and well designed. sahi hai,very useful and well designed sahi hai,positive
2,"Do nj buy thsi, waste of money. 👍",do nj buy thsi waste of money,negative
2,Bad customer service and defective product. ugly sofa trash,bad customer service and defective product ugly sofa trash,negative
2,"VERY DISAPPOINTED, BAD EXPERIENCE. STYLISH SOCKS DEFECTIVE NOT BAD",very disappointed bad experience stylish socks defective not bad,negative
5,"Absolute delight, works like a charm. ugly blender incredible bilkul bekaar",absolute delight works like a charm ugly blender incredible bilkul bekaar,positive
2,"BROKE WITHIN A DAY, AWFUL. COMPACT BACKPACK",broke within a day awful compact backpack,negative
3,I have mixed feelings about this. ugly tablet,i have mixed feelings about this ugly tablet,neutral
3,Neutral feelings about this item. lightweight lamp so-so dope,neutral feelings about this item lightweight lamp so so dope,neutral
5,"HIGH-END TABLET TOP-NOTCH EXPERIENCE, WILL BUY AGAIN! BRILLIANT",high end tablet top notch experience will buy again brilliant,positive
2,"CHEAPLY MADE, FEELS FRAGILE. NOISY KEYBOARD MAST HAI",cheaply made feels fragile noisy keyboard mast hai,negative
2,"Do not buy this, waste of money. heavy bottle ripoff",do not buy this waste of money heavy bottle ripoff,negative
3,It's fine for occasional use.,it s fine for occasional use,neutral
3,It's fine for occasional use. compact notebook average meh,it s fine for occasional use compact notebook average meh,neutral
4,New vacuum great customer service and product. bahut achha 💯,new vacuum great customer service and product bahut achha,positive
5,Premium router very useful and well designed. acha hai,premium router very useful and well designed acha hai,positive
4,Perfect! works as expected. noisy tshirt bahut achha i've,perfect works as expected noisy tshirt bahut achha i ve,positive
3,"silent speaker Not bad, could be better. average",silent speaker not bad could be better average,neutral
5,"WORTH THE MONEY, DEFINITELY WORTH IT. PERFECT",worth the money definitely worth it perfect,positive
1,high-end wallet Bad customer service and defective product. bahut achha solid,high end wallet bad customer service and defective product bahut achha solid,negative
5,Very useful and well designed.,very useful and well designed,positive
1,matte bottle Stopped working after a week. kharap hai not working,matte bottle stopped working after a week kharap hai not working,negative
1,Horrible packaging and broken item. waterproof blender broken,horrible packaging and broken item waterproof blender broken,negative
4,"WORTH THE MONEY, DEFINITELY WORTH IT. LIGHTWEIGHT MONITOR EXCELLENT FAALTU",worth the money definitely worth it lightweight monitor excellent faaltu,positive
5,Stylish mattress great customer service and product. not great,stylish mattress great customer service and product not great,positive
1,One star — very unsatisfied. compact charger,one star very unsatisfied compact charger,negative
2,"TERRIBLE QUALITY, NOT RECOMMENDED. COLOURFUL VACUUM",terrible quality not recommended colourful vacuum,negative
1,"Absolute trash, avoid at all costs. sleek sofa worthless",absolute trash avoid at all costs sleek sofa worthless,negative
3,"IT'S OKAY, NOTHING SPECIAL. UGLY WALLET",it s okay nothing special ugly wallet,neutral
5,"NOISY PILLOW TOP-NOTCH EXPERIENCE, WILL BUY AGAIN!",noisy pillow top notch experience will buy again,positive
2,Worst purchase ever. scratchy smartwatch,worst purchase ever scratchy smartwatch,negative
2,FRAGILE ROUTER POOR QUALITY AND MISLEADING DESCRIPTION.,fragile router poor quality and misleading description,negative
5,Superb! Highly impressed. soft vacuum you're,superb highly impressed soft vacuum you re,positive
2,"Very disappointed, bad experience. premium notebook worst don't",very disappointed bad experience premium notebook worst don t,negative
5,SOFT KEYBOARD IMPRESSED WITH THE BUILD AND FEATURES. VALUE FOR MONEY BILKUL BEKAAR,soft keyboard impressed with the build and features value for money bilkul bekaar,positive
2,"Very disappointed, bad experience. worst",very disappointed bad experience worst,negative
4,durable phone case Best purchase I've made this year. love 😢,durable phone case best purchase i ve made this year love,positive
4,Very useful and well designed. silent mattress,very useful and well designed silent mattress,positive
4,Compact oven very useful an well edsigned. value for money,compact oven very useful an well edsigned value for money,positive
4,"matte smartwatch Amazing product, loved it completely! kharap hai",matte smartwatch amazing product loved it completely kharap hai,positive
4,heavy socks Impressed with the build and features.,heavy socks impressed with the build and features,positive
4,Best purchase i've made this year. silent jacket,best purchase i ve made this year silent jacket,positive
2,ECO-FRIENDLY WALLET POOR QUALITY AND MISLEADING DESCRIPTION. USELESS 😀,eco friendly wallet poor quality and misleading description useless,negative
3,Decent but has some flaws. so-so,decent but has some flaws so so,neutral
1,"Not worth the price, returning it. useless",not worth the price returning it useless,negative
2,Durable wallet stopped working after a week. horrible,durable wallet stopped working after a week horrible,negative
4,Superb! highly impressed. satisfied,superb highly impressed satisfied,positive
1,Stopped workiing after a week. uglyxsneakers pathetic bahut achha,stopped workiing after a week uglyxsneakers pathetic bahut achha,negative
1,"Absolute trash, avoid at all costs. stylish backpack",absolute trash avoid at all costs stylish backpack,negative
5,Very useful and well designed. high-end lamp 🔥,very useful and well designed high end lamp,positive
1,LUXURY LAMP BAD CUSTOMER SERVICE AND DEFECTIVE PRODUCT.,luxury lamp bad customer service and defective product,negative
1,"Worthless product, doesn't work. firm trimmer",worthless product doesn t work firm trimmer,negative
5,Very useful and well designed. sahi hai not great,very useful and well designed sahi hai not great,positive
4,ECO-FRIENDLY MATTRESS HIGH QUALITY AND LONG-LASTING.,eco friendly mattress high quality and long lasting,positive
1,"Broke within a day, awful. eco-friendly fan they're",broke within a day awful eco friendly fan they re,negative
2,STOPPED WORKING AFTER A WEEK. FRAGILE SMARTWATCH,stopped working after a week fragile smartwatch,negative
4,"Top-notch experienc,e will buy again! ugly mattress ont working",top notch experienc e will buy again ugly mattress ont working,positive
5,Superb! Highly impressed. incredible,superb highly impressed incredible,positive
4,Best purchase I've made this year. ugly backpack I'm,best purchase i ve made this year ugly backpack i m,positive
5,"Topp-notch expejience, will buy again! new oven",topp notch expejience will buy again new oven,positive
2,BUDGET BOTTLE USELESS AND PATHETIC PERFORMANCE. TERRIBLE KHARAP HAI,budget bottle useless and pathetic performance terrible kharap hai,negative
3,NEUTRAL FEELINGS ABOUT THIS ITEM. NEW SHOE,neutral feelings about this item new shoe,neutral
4,Fragile backpack impressed with the build and features. amazing,fragile backpack impressed with the build and features amazing,positive
2,Horrible packaging and broken item. bright oven,horrible packaging and broken item bright oven,negative
5,"Worth the money, definitely worth it. outstanding",worth the money definitely worth it outstanding,positive
2,"CHEAP SOHE ABSOLUTE TRASH, AVOID AT ALL COSTS.",cheap sohe absolute trash avoid at all costs,negative
4,waterproof microwave Superb! Highly impressed.,waterproof microwave superb highly impressed,positive
5,HEAVY SPEAKER BEST PURCHASE I'VE MADE THIS YEAR. KHARAP HAI,heavy speaker best purchase i ve made this year kharap hai,positive
5,FIVE STARS — OUTSTANDING! LIGHTWEIGHT SOFA MAST HAI 💯,five stars outstanding lightweight sofa mast hai,positive
2,"HEAVY SOFA BROKE WITHIN A DAY, AWFUL. ACHA HAI",heavy sofa broke within a day awful acha hai,negative
4,Best purchase i've made this year. fragile bottle incredible wtf not bad,best purchase i ve made this year fragile bottle incredible wtf not bad,positive
2,"Cheaply made, feels fragile. durable smartwatch",cheaply made feels fragile durable smartwatch,negative
